Year ,Revenue,Cost Of Revenue,Gross Profit,Gross Profit Margin,Selling And Marketing Expenses,Selling General And Administrative Expenses,Other Expenses,Operating Expenses,Cost And Expenses,Interest Expense,Depreciation And Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Margin,Total Other Income Expenses Net,Income Before Tax,Income Before Tax Margin,Income Tax Expense,Net Income,Net Income Margin,Earnings Per Share,Earnings Per Share Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted
2025,250450660000.00,217608110000.00,32842550000.00,0.13,4733590000.00,4733590000.00,16364370000.00,21097960000.00,238706070000.00,3594590000.00,3427210000.00,16617810000.00,0.07,11744590000.00,0.05,-2148580000.00,9596010000.00,0.04,2454280000.00,7148000000.00,0.03,5.80,5.79,1030053057.00,1031830643.00
2024,185155510000.00,158872720000.00,26610140000.00,0.14,3792750000.00,10069710000.00,-,10069710000.00,168942430000.00,3785930000.00,2743010000.00,14417190000.00,0.08,16540430000.00,0.09,-8652180000.00,7888250000.00,0.04,1925400000.00,5973460000.00,0.03,5.80,5.79,1030053057.00,1031830643.00
2023,140250100000.00,118722240000.00,21527860000.00,0.15,3117090000.00,3440420000.00,9151860000.00,12592280000.00,131244420000.00,3534770000.00,2445840000.00,11026770000.00,0.08,8840760000.00,0.06,-3125540000.00,5715220000.00,0.04,1395900000.00,4331050000.00,0.03,4.20,4.20,1030053057.00,1030053057.00
2022,107808270000.00,91262880000.00,16545390000.00,0.15,2494070000.00,2739220000.00,7536750000.00,10275970000.00,101524660000.00,3603740000.00,2315770000.00,8336910000.00,0.08,6269420000.00,0.06,-3280860000.00,2988560000.00,0.03,748260000.00,2242090000.00,0.02,2.18,2.18,1030053057.00,1030053057.00
2021,85433350000.00,71426760000.00,14006590000.00,0.16,1583730000.00,1828600000.00,7066020000.00,8894620000.00,80080710000.00,4054780000.00,2249020000.00,6258840000.00,0.07,5397620000.00,0.06,-5004050000.00,393570000.00,0.00,454300000.00,-63040000.00,0.00,-0.07,-0.07,848840615.00,848840615.00
2020,100280750000.00,83917670000.00,16363080000.00,0.16,2999020000.00,3213050000.00,8044730000.00,11257780000.00,95149400000.00,4194590000.00,2391660000.00,8231220000.00,0.08,5105300000.00,0.05,-2896430000.00,2208870000.00,0.02,786120000.00,1429960000.00,0.01,1.70,1.49,839241600.00,958289219.00
2019,97339590000.00,81983440000.00,15356150000.00,0.16,3162500000.00,3421860000.00,8215120000.00,11636980000.00,93582860000.00,4178740000.00,2236200000.00,6077060000.00,0.06,3719170000.00,0.04,-3509890000.00,209280000.00,0.00,257920000.00,-36060000.00,0.00,-0.04,-0.04,1030053057.00,1030053057.00
2018,104406270000.00,88016970000.00,16389300000.00,0.16,3263350000.00,3529830000.00,7328360000.00,10858190000.00,98875160000.00,3899860000.00,2020280000.00,7493110000.00,0.07,5531110000.00,0.05,-3393200000.00,2137910000.00,0.02,727940000.00,1423740000.00,0.01,1.38,1.38,1030053057.00,1030053057.00
